SMILES,clogp,qed,sas
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@](CO)(O2)[C@@H](O)[C@H](O)[C@@H](CO)2,-5.3956,0.237891435,4.47848
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C1O[C@@H]([C@@H](O)2)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)2,-6.0104,0.236228497,4.23522996
OC[C@@H](O1)[C@@H](O)[C@H](O)C(CO)(OC[C@@H](O2)[C@@H](O)[C@H](O)C(O)(CO)2)1,-5.394,0.229834288,4.823421583
OCC=Cc(c2)cc(OC)c(c2)O[C@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)1,-1.1206,0.439662142,3.629503766
OC[C@@H](O1)[C@@H](O)[C@H](OC(O2)[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)2)[C@@H](O)C(O)1,-5.3972,0.243258468,4.293850704
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C(O)1,-5.7612,0.202980399,4.414175927
C(=C1CC=C(CCC=C(C)CCC=C(C)C)C)C(C(C)=C(C1O)C)O,5.7939,0.546776089,4.24742946
NC(N4)=Nc(c3C(=O)4)n(cn3)[C@H](O1)[C@H](O)[C@H](O2)[C@@H](COP(O)(=O)2)1,-1.5241,0.443875948,4.498591745
OC[C@@H](O1)[C@@H](O4)[C@@H](OP(O)(=O)4)[C@@H]1n(c3)c(N=2)c(n3)C(=O)NC(N)2,-1.5241,0.467445631,4.478469389
Cc(n2)nc(N)c(c2)C[n+1](c1)c(C)c(CCOP(O)(O)=O)s1,0.72474,0.520727898,3.380928742
Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](N)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.8966,0.3883437,4.007612526
OC[C@@H](O1)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2,-1.863,0.390178545,3.872016922
OC[C@@H](O1)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2,-1.863,0.390178545,3.874816922
NC(N3)=Nc(c2C(=O)3)n(cn2)[C@@H](C1)O[C@H](COP(O)(O)=O)[C@@H](O)1,-1.5405,0.405643401,3.894447014
Nc(n3)c(c(nc3)2)n(cn2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.863,0.390178545,4.042159779
Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.863,0.390178545,3.804889449
O=C(N3)c(n2)c(N=C3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-2.1519,0.38211344,3.987559779
Oc(c3)cc(O1)c(c3)CCC([H])1c(c2)cccc2,3.4585,0.806496971,2.45718473
Oc(c3)c(C(=O)2)c(cc3)OC(=C2)c(c1)cccc1,3.1656,0.707998048,1.931391166
OC(=O)c(c1)c(ccc1)NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,-0.8031,0.309583858,3.333173742
COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1,3.5913,0.600695037,1.528066018
Oc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2,3.0987,0.832682658,2.498770864
Oc(c3)c(ccc3)C(=C1)Oc(c2)c(ccc2)C(=O)1,3.1656,0.707998048,1.922902408
Oc(c2)ccc(c2)C=CC(=O)c(c1)ccc(O)c1,2.9939,0.64014006,1.81385977
Oc(c2)cc(cc2)C=CC(=O)c(c1)cc(O)cc1,2.9939,0.64014006,1.966430811
Oc(c2)c(ccc2)C=CC(=O)c(c1)c(O)ccc1,2.9939,0.64014006,1.942311354
Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cccc1,2.9939,0.64014006,1.895782847
Oc(c2)c(ccc2)C(=O)C=C(O)c(c1)cccc1,3.174,0.49187556,1.914564747
Oc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1,3.2166,0.612151416,2.259442575
Cc(c1)c(C)cc(n2)c1nc(C(=O)3)c(NC(=O)N3)2,0.77644,0.569605267,2.497908041
Oc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1,2.9133,0.81033271,1.752708639
Oc(c3)ccc(c3)C(C2)Cc(c1)c(O2)cc(O)c1,2.8165,0.808045639,2.650684473
Oc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C1,3.1641,0.80714823,2.62061968
Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1,3.1641,0.80714823,2.62061968
COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cccc2,3.4686,0.700686311,1.761758034
COc(c3)cc(C(=O)2)c(c3)OC(=C2)c(c1)cccc1,3.4686,0.700686311,1.765390762
Oc(c3)cc(O2)c(c3)C(=O)C(=C(C)2)c(c1)cccc1,3.47402,0.721001232,1.942266892
Oc(c3)cc(O2)c(c(O)3)C(=CC(=O)2)c(c1)cccc1,2.8712,0.65490789,2.098456636
Oc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(cc(O)c2)1,2.714,0.767717477,2.196630995
O=C(O1)C=C(c(c3)cccc3)c(c2)c1cc(O)c(O)2,2.8712,0.517133156,2.009923302
Oc(c3)cc(O1)c(c3)C(=O)C(O)=C1c(c2)cccc2,2.8712,0.700091546,2.019387405
Oc(c4)cc(O3)c(c4)c(o1)c(C3)c(c2)c(cc(O)c2)1,3.4034,0.644992299,2.494340412
Oc(c3)ccc(c3)C(=C1)Oc(c2)c(ccc(O)2)C(=O)1,2.8712,0.700091546,2.040648944
Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2,2.8712,0.700091546,2.09600279
Oc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,2.8712,0.700091546,2.188741251
Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(ccc2)C(=O)1,2.8712,0.65490789,2.119910482
Oc(c3)c(O1)c(c(O)c3)C(=O)C=C1c(c2)cccc2,2.8712,0.65490789,2.168051508
Oc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,2.8712,0.700091546,2.071328431
Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)cc1,2.8712,0.700091546,2.168895097
Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(ccc2)C(=O)1,2.8712,0.700091546,2.214641251
Oc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1,2.8712,0.700091546,2.141564328
COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2,3.4017,0.823541581,2.381568518
COc(c1)c(O)cc(c(C)2)c1oc(c(c3)cccc3)2,4.12242,0.747520597,1.981018174
COc(c3)c(O)cc(c23)C(=CCO2)c(c1)cccc1,3.2249,0.893848999,2.300635237
COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1,2.5647,0.612354734,3.18150557
COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1,2.5647,0.612354734,3.18150557
COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)cccc1,3.2969,0.67231567,1.8529592
Oc(c3)ccc(c3)c(c2)[o+1]c(c1)c(c2)c(O)cc(O)1,3.4977,0.581810188,2.751892533
Oc(c3)cc(O1)c(c(O)3)C(=O)CC([H])1c(c2)cccc2,2.8043,0.822909689,2.676941758
Clc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(ccc2)1,3.9562,0.722242222,1.90834797
COc(c3)c(ccc(O)3)c(c1)oc(c2)c(ccc(O)2)1,3.5196,0.735972122,2.135651508
Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C(=O)1,2.8043,0.822909689,2.657003296
Oc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.4567,0.822071769,2.718739194
COc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1,3.5196,0.735972122,2.147118174
Oc(c3)cc(O1)c(c3)C(=O)C(O)C1c(c2)cccc2,2.0695,0.819292132,2.907968117
Oc(c3)cc(O)c(c3)C(C2)=Cc(c1)c(O2)cc(O)c1,2.7364,0.733368431,2.625725867
Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1,2.6995,0.44798905,2.076083777
Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1,2.6995,0.582502973,2.055588856
Oc(c2)c(O)cc(c2)C=CC(=O)c(c1)c(O)ccc1,2.6995,0.44798905,2.041277681
COC(=C1)C(=O)C(=C(O)C=Cc(c2)cccc2)C(=O)1,2.194,0.511271391,2.498404531
Oc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1,2.7075,0.76050337,3.279177394
Oc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1,2.6995,0.582502973,2.183882616
COc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1,3.2163,0.835419617,1.668536123
COc(c2)c(ccc(O)2)CCC(=O)c(c1)cccc1,3.2163,0.835419617,1.742233559
COc(c2)c(O)cc(c(O)2)C(C=C)c(c1)cccc1,3.4243,0.650595456,2.841373495
COc(c2)c(ccc(O)2)C(=O)CCc(c1)cccc1,3.2163,0.835419617,1.710430995
COc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1,3.4671,0.893795324,2.487113972
COc(c3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1,3.4671,0.893795324,2.642102784
Oc(c3)ccc(c3)C([H])(C1)Oc(c(C)2)c(ccc(O)2)C1,3.47252,0.82096041,2.802910989
COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2,3.4671,0.893795324,2.496771035
Oc(c2)ccc(c2)C(=O)CCc(c1)c(O)cc(O)c1,2.6189,0.736547022,1.969640816
Oc(c2)ccc(c2)CCC(=O)c(c1)c(O)cc(O)c1,2.6189,0.736547022,1.934957507
Oc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.6189,0.736547022,2.008713094
Oc(c1)cc(O2)c(CC(O)C2c(c3)cccc3)c(O)1,2.1349,0.732577594,3.041111706
Oc(c3)ccc(c3)C(O1)C(O)Cc(c2)c(cc(O)c2)1,2.1349,0.732577594,2.967183501
Oc(c3)cc(O)c(c3)C(C2)Cc(c1)c(O2)cc(O)c1,2.5221,0.73476131,2.866754579
Oc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1,2.8697,0.73524383,2.857108425
c(c4)ccc(c4)C=c(o1)c(=O)c(c2)c1c(c3)c(oc3)c2,4.049,0.620954833,2.375870424
O=C(C=Cc(c3)cccc3)c(c1)c(O)c(c2)c(oc2)c1,4.0345,0.573528296,2.166195106
COc(c(O)3)cc(c2c3)C(=CC(=O)O2)c(c1)cccc1,3.1742,0.725078115,1.935880168
COc(c3)cc(O1)c(c3)C(=O)C(c(c2)cccc2)=C(C)1,3.77702,0.708305836,1.834686646
Oc(c4)cc(O3)c(c4)c(o1)c(C(=O)3)c(c2)c(cc(O)c2)1,3.1036,0.478596593,2.43556114
COc(c3)c(O)cc(c23)C(=CC(=O)O2)c(c1)cccc1,3.1742,0.725078115,1.948878548
COc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(ccc2)1,3.1742,0.775102982,1.862804055
COc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2,3.1742,0.775102982,2.013491504
COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)ccc(O)c2,3.1742,0.775102982,1.927890694
COc(c1)c(O)cc(O2)c1C(=O)C=C2c(c3)cccc3,3.1742,0.775102982,1.973352233
COc(c3)c(O)c(C(=O)2)c(c3)OC(=C2)c(c1)cccc1,3.1742,0.775102982,2.024998386
Oc(c1)c(C)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2,3.17962,0.710721117,2.227293817
COc(c3)ccc(c3)C(=C1)Oc(c2)c(cc(O)c2)C(=O)1,3.1742,0.775102982,1.931842921
COc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,3.1742,0.775102982,2.042590289
COc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)ccc(O)c1,3.1742,0.775102982,1.956955472
COc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,3.1742,0.775102982,1.952252637
COc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1,3.1742,0.775102982,2.056655067
COc(c3)ccc(c3)C(=C1)C(=O)c(c(O)2)c(ccc2)O1,3.1742,0.775102982,2.012228346
Oc(c4)cc(O)c(c4)c(c1)oc(c2)c(cc(O3)c(OC3)2)1,3.2397,0.709832868,2.428856644
Oc(c3)cc(O1)c(c(O)3)C(=O)C(O)=C1c(c2)cccc2,2.5768,0.631832936,2.225481455
Oc(c3)ccc(c3)C=c(o1)c(=O)c(c(O)2)c(cc(O)c2)1,2.4196,0.69259856,2.431541894
Oc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(cc(O)c2)1,2.5768,0.631832936,2.178790246
Oc(c3)cc(o1)c(c3)c(=O)c(=Cc(c2)cc(O)c(O)c2)1,2.4196,0.546894739,2.352022938
Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(c(O)cc2)C(=O)1,2.5768,0.591054666,2.410085301
Oc(c3)ccc(c3)C(=C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5768,0.631832936,2.252669367
Oc(c3)c(O)c(O1)c(c(O)3)C(=O)C=C(c(c2)cccc2)1,2.5768,0.466712907,2.289351784
Oc(c1)c(O)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2,2.5768,0.591054666,2.248500686
Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,2.5768,0.591054666,2.371546015
Oc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cc(O)c(O)c2,2.5768,0.591054666,2.219522664
Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)c(O)ccc2,2.5768,0.631832936,2.340609751
Oc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)cc(O)c(O)c1,2.5768,0.591054666,2.253188598
Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)c(O)c1,2.5768,0.591054666,2.287017718
Oc(c3)ccc(c3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1,2.5768,0.631832936,2.296603707
Oc(c3)cc(O)c(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,2.5768,0.631832936,2.332757004
Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)cc(O)c(O)1,2.5768,0.591054666,2.235920466
Oc(c3)cc(cc3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1,2.5768,0.631832936,2.365488323
COc(c3)c(C(=O)2)c(cc(O)3)OC(C2)c(c1)cccc1,3.1073,0.91059405,2.653514413
COc(c(O)3)c(O1)c(cc3)C(=O)CC(c(c2)cccc2)1,3.1073,0.91059405,2.745137085
COc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C(=O)1,3.1073,0.91059405,2.529039919
Oc(c1)c(C)c(O)c(C(=O)3)c1OC([H])(C3)c(c2)cccc2,3.11272,0.835154251,2.805080954
COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)ccc(O)c2,3.1073,0.91059405,2.538358138
Oc(c3)c(C)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1,3.11272,0.835154251,2.861672163
COc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)cccc2,3.1073,0.91059405,2.59040753
COc(c3)cc(o1)c(c3)cc1c(c2)c(OC)cc(O)c2,3.8226,0.785615126,2.017893123
COc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.7597,0.911272768,2.587526559
COc(c3)c(ccc(O)3)C(C1)=Cc(c2)c(cc(O)c2)O1,3.0394,0.880228865,2.532510937
COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)ccc(O)c1,2.2703,0.673071223,3.323868377
COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1,3.0025,0.661723447,1.934734477
COc(c2)c(ccc(O)2)C=CC(=O)c(c1)ccc(O)c1,3.0025,0.661723447,2.002029257
COC(=C1)C(=O)C(=C(OC)C=Cc(c2)cccc2)C(=O)1,2.2824,0.478290111,2.69238118
COc(c1)c(O)cc(O)c1C(=O)C=Cc(c2)cccc2,3.0025,0.661723447,2.004392993
COc(c1)c(C(=O)C=Cc(c2)cccc2)c(O)cc(O)1,3.0025,0.661723447,2.095525411
COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1,3.0025,0.508915614,1.954131455
COc(c(O)2)c(O)c(cc2)C(=O)C=Cc(c1)cccc1,3.0025,0.661723447,2.104584751
COc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1,3.0025,0.661723447,2.11618585
COc(c2)cc(O)c(c2)C(=O)C=Cc(c1)ccc(O)c1,3.0025,0.661723447,1.961012499
COc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1,3.0105,0.864981897,3.143486074
COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)ccc(O)c1,3.0025,0.661723447,2.008549312
COc(c4)cc(O1)c(c4)C([H])(C2)C([H])1c(c3)c(cc(O)c3)O2,3.0105,0.864981897,3.143486074
Oc(c4)cc(O1)c(c4)CCC1c(c2)cc(O3)c(OC3)c2,3.1872,0.864175593,2.769166194
COc(c2)c(O)cc(c(OC)2)[C@]([H])(C=C)c(c1)cccc1,3.7273,0.841349565,2.745132053
c(c2)ccc(c2)CCC(=O)C(=C(C)1)C(=O)C(C)(C)C(=O)1,2.6828,0.624065348,2.398446565
COc(c(C)3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1,3.77552,0.90229129,2.825641538
COc(c3)c(C)c(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2,3.77552,0.90229129,2.704385668
COc(c1)cc(O2)c(CC[C@H]2c(c3)cccc3)c(OC)1,3.7701,0.849362465,2.524231333
Oc(c3)ccc(c3)c([o+1]1)c(O)cc(c(O)2)c(cc(O)c2)1,3.2033,0.509967543,2.894628982
Oc(c1)cc([o+1]2)c(ccc2c(c3)cc(O)c(O)c3)c(O)1,3.2033,0.4026843,2.913573488
Oc(c3)cc(O1)c(c3)C(=O)CC([H])1c(c2)cc(O)c(O)c2,2.5099,0.694218148,2.834860075
Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(ccc(O)2)C(=O)1,2.5099,0.694218148,2.887062548
Oc(c3)c(O)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1,2.5099,0.54817361,2.90592546
Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(c(O)cc2)C(=O)1,2.5099,0.694218148,2.881269416
Oc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)c(O)ccc2,2.5099,0.742113913,2.877508701
Oc(c1)c(O)c(O)c(C(=O)3)c1OC(C3)c(c2)cccc2,2.5099,0.694218148,2.830644416
Oc(c3)cc(O1)c(c(O)3)C(=O)CC(O)1c(c2)cccc2,1.9083,0.737795215,3.062926009
Oc(c3)cc(cc3)C(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5099,0.742113913,2.893716119
Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5099,0.742113913,2.825486723
Oc(c3)cc(O)c(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.1623,0.740166283,2.945060625
Oc(c3)ccc(c3)C([H])(O1)C([H])(O)C(=O)c(c2)c(cc(O)c2)1,1.7751,0.736192093,3.05696995
Oc(c3)cc(O1)c(c(O)3)C(=O)C([H])(O)C([H])1c(c2)cccc2,1.7751,0.736192093,3.065200994
Oc(c2)cc(O)c(c2)C=CC(=O)c(c1)c(O)cc(O)c1,2.4051,0.507802196,2.324461809
Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)cc(O)1,2.4051,0.507802196,2.353357474
Oc(c2)ccc(c2)C=CC(=O)c(c(O)1)c(O)cc(O)c1,2.4051,0.507802196,2.329763628
Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)c(O)c1,2.4051,0.390538476,2.22499104
Oc(c2)ccc(c2)C(=O)CC(=O)c(c1)c(O)cc(O)c1,2.2591,0.585855093,2.063909921
Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)c(O)c(O)c1,2.4051,0.390538476,2.232913558
Oc(c4)cc(O1)c(c4)C(C3)C1c(c2)c(O3)c(O)c(O)c2,2.4131,0.641749144,3.494507978
Oc(c4)cc(O3)c(c4)C([H])(O1)C(O)(C3)c(c2)c(cc(O)c2)1,1.8115,0.681347473,3.548695023
COc(c2)ccc(c2)C(C)C(=O)c(c1)c(O)cc(O)c1,3.0928,0.839238314,2.469563202
COc(c2)cc(O)c(c2)C(=O)CCc(c1)ccc(O)c1,2.9219,0.821199877,1.846843543
Oc(c1)c(C)c(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.92732,0.747728949,2.153952718
COc(c2)c(ccc(O)2)CCC(=O)c(c1)ccc(O)c1,2.9219,0.821199877,1.900507279
COc(c1)cc(O)c(CCC(=O)c(c2)ccc(O)c2)c1,2.9219,0.821199877,1.879668817
COc(c1)c(C(=O)CCc(c2)cccc2)c(O)cc(O)1,2.9219,0.821199877,1.974932828
COc(c3)cc(O1)c(c3)CC(O)C1c(c2)ccc(O)c2,2.4379,0.88124487,2.84504563
COc(c3)cc(O)c(c3)[C@@]([H])(C1)Cc(c2)c(cc(O)c2)O1,2.8251,0.882238777,2.753568664
COc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.9219,0.821199877,1.950400411
COc(c3)cc(O2)c(c3)CC(C2)c(c1)c(O)cc(O)c1,2.8251,0.882238777,2.737069878
COc(c3)c(ccc(O)3)C(C1)Cc(c2)c(cc(O)c2)O1,2.8251,0.882238777,2.785417247
COc(c(O)3)cc(cc3)[C@H](C1)Oc(c2)c(ccc(O)2)C1,3.1727,0.881208896,2.697331417
COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)cc(O)c(O)c2,3.1727,0.824335992,2.677616437
COc(c3)c(O)cc(c3)C(C1)Oc(c2)c(ccc(O)2)C1,3.1727,0.881208896,2.720901457
COc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1,3.1727,0.881208896,2.718613198
Clc(c3)ccc(c3)CC(O)(O1)C(=O)c(c2)c(ccc2)1,2.8464,0.915922124,2.77803663
